outcome,outcome_unit,estimate,force_level_mvc,simulation_id,normal_value,dpn_value,dpn_minus_normal
firing_rate,pps,randomized_hdsemg,50,42,11.433333333333334,12.4,0.9666666666666668
firing_rate,pps,randomized_hdsemg,50,43,11.783333333333333,10.733333333333334,-1.049999999999999
firing_rate,pps,randomized_hdsemg,50,44,11.883333333333335,12.233333333333334,0.34999999999999964
firing_rate,pps,randomized_hdsemg,50,45,11.683333333333334,11.233333333333334,-0.4499999999999993
firing_rate,pps,randomized_hdsemg,50,46,11.95,10.65,-1.299999999999999
firing_rate,pps,randomized_hdsemg,50,47,12.383333333333333,10.533333333333335,-1.8499999999999979
firing_rate,pps,randomized_hdsemg,50,48,12.45,12.333333333333334,-0.11666666666666536
firing_rate,pps,randomized_hdsemg,50,49,11.516666666666666,12.266666666666666,0.75
firing_rate,pps,simulation_truth_all_active_motor_units,10,0,10.034037558685448,12.042016806722687,2.0079792480372394
firing_rate,pps,simulation_truth_all_active_motor_units,10,1,10.839460784313726,11.109375,0.26991421568627416
firing_rate,pps,simulation_truth_all_active_motor_units,10,2,10.346813725490195,11.629032258064516,1.282218532574321
firing_rate,pps,simulation_truth_all_active_motor_units,10,3,9.587356321839081,11.430107526881722,1.8427512050426404
firing_rate,pps,simulation_truth_all_active_motor_units,10,4,9.522675736961451,11.542699724517906,2.0200239875564545
firing_rate,pps,simulation_truth_all_active_motor_units,10,5,9.970238095238095,11.794444444444446,1.8242063492063512
firing_rate,pps,simulation_truth_all_active_motor_units,10,6,9.545238095238096,11.71074380165289,2.1655057064147947
firing_rate,pps,simulation_truth_all_active_motor_units,10,7,10.473039215686276,10.94579945799458,0.47276024230830416
firing_rate,pps,simulation_truth_all_active_motor_units,10,8,10.61800486618005,11.033591731266151,0.41558686508610165
firing_rate,pps,simulation_truth_all_active_motor_units,10,9,9.984741784037558,12.060606060606059,2.0758642765685007
firing_rate,pps,simulation_truth_all_active_motor_units,10,10,9.936170212765957,11.240591397849462,1.3044211850835055
firing_rate,pps,simulation_truth_all_active_motor_units,10,11,9.968824940047963,11.321333333333335,1.3525083932853725
firing_rate,pps,simulation_truth_all_active_motor_units,10,12,9.383561643835616,12.081967213114755,2.6984055692791387
firing_rate,pps,simulation_truth_all_active_motor_units,10,13,10.310049019607842,10.928,0.617950980392159
firing_rate,pps,simulation_truth_all_active_motor_units,10,14,10.269047619047617,11.510840108401084,1.2417924893534664
firing_rate,pps,simulation_truth_all_active_motor_units,10,15,10.56592039800995,11.581989247311826,1.0160688493018757
firing_rate,pps,simulation_truth_all_active_motor_units,10,16,9.706572769953052,11.698087431693988,1.9915146617409363
firing_rate,pps,simulation_truth_all_active_motor_units,10,17,10.055970149253733,11.557909604519773,1.5019394552660401
firing_rate,pps,simulation_truth_all_active_motor_units,10,18,10.376498800959233,11.980392156862743,1.6038933559035105
firing_rate,pps,simulation_truth_all_active_motor_units,10,19,10.0,11.248031496062993,1.2480314960629926
firing_rate,pps,simulation_truth_all_active_motor_units,10,20,10.438725490196077,12.072404371584701,1.633678881388624
firing_rate,pps,simulation_truth_all_active_motor_units,10,21,10.31294964028777,12.016129032258064,1.7031793919702949
firing_rate,pps,simulation_truth_all_active_motor_units,10,22,10.384803921568627,11.618279569892474,1.2334756483238465
firing_rate,pps,simulation_truth_all_active_motor_units,10,23,10.27007299270073,11.652,1.3819270072992698
firing_rate,pps,simulation_truth_all_active_motor_units,10,24,10.14988009592326,11.510840108401084,1.3609600124778236
firing_rate,pps,simulation_truth_all_active_motor_units,10,25,10.305555555555554,11.601851851851851,1.2962962962962976
firing_rate,pps,simulation_truth_all_active_motor_units,10,26,10.032374100719425,11.401084010840108,1.3687099101206837
firing_rate,pps,simulation_truth_all_active_motor_units,10,27,10.031400966183575,11.063999999999998,1.0325990338164228
firing_rate,pps,simulation_truth_all_active_motor_units,10,28,10.459232613908874,10.873385012919897,0.41415239901102296
firing_rate,pps,simulation_truth_all_active_motor_units,10,29,10.077380952380954,12.219945355191257,2.1425644028103026
firing_rate,pps,simulation_truth_all_active_motor_units,10,30,10.509876543209876,11.987804878048781,1.4779283348389054
firing_rate,pps,simulation_truth_all_active_motor_units,10,31,10.158150851581508,10.290076335877863,0.13192548429635487
firing_rate,pps,simulation_truth_all_active_motor_units,10,32,9.458333333333334,11.777777777777779,2.3194444444444446
firing_rate,pps,simulation_truth_all_active_motor_units,10,33,10.25669099756691,12.364406779661017,2.1077157820941075
firing_rate,pps,simulation_truth_all_active_motor_units,10,34,11.029715762273902,11.200819672131148,0.171103909857246
firing_rate,pps,simulation_truth_all_active_motor_units,10,35,9.60680751173709,11.342666666666664,1.7358591549295745
firing_rate,pps,simulation_truth_all_active_motor_units,10,36,9.311643835616438,11.118489583333332,1.8068457477168938
firing_rate,pps,simulation_truth_all_active_motor_units,10,37,10.178832116788321,11.201101928374657,1.0222698115863356
firing_rate,pps,simulation_truth_all_active_motor_units,10,38,10.676543209876545,11.594632768361583,0.9180895584850379
